,text,label,pred,prob_0,prob_1
12340," a young chinese climb enthusiast s fatal fall from a skyscraper while make a selfie video on a $ 15,000 rooftopping dare have spur warning by state medium against the peril of livestreaming . wu yongning plunge to his death from a 62-storey building in central china on november 8 , the day he stop post video of his skyscraper exploit on weibo , china s equivalent of twitter . a month later , his girlfriend confirm the death of the 26-year old in a weibo post . wu , who have more than 60,000 follower of his weibo account , be look to win a prize of 100,000 yuan ( $ 15,110 ) for a filmed stunt atop huayuan hua center in changsha , capital of hunan province , medium say over the weekend . his death be a reminder of the need for strong supervision of livestreaming apps , the official china daily say on tuesday . some of them try to hype thing up with obscene and dangerous thing , and their purpose be to attract more eyeball and make a profit , it say in a commentary . ten of thousand of chinese post video of themselves in a bid for stardom on the livestreaming scene , whose popularity have grow rapidly , particularly in the e-commerce , social networking and gaming sector . wu , who use to post video of himself scale tall building with no safety equipment , hop to use the prize to pay his mother s medical bill , the changsha even news say . it be unclear which livestreaming platform wu intend to post on . there should be a bottom line for livestreaming platform , and supervision should leave no loophole , run a comment in the online edition of the people s daily . wu s video on his weibo microblog have attract several million view each .",0,1,0.4283723048949508,0.5716276951050492
32129,"wow ! this be clearly something the white house prepare for because they have a packet of information available for the press to look over.deputy ag rosentein send out an email with information regard comey s gaffe . then this the white house release a statement confirm the dismissal of fbi director james comey : all we can say about this be it s about time ! comey have 7 year leave in his 10 year tenure at the fbi.ag jeff session recommend this fire the white house announce tuesday afternoon that fbi director james comey be fire . today , president donald j. trump inform fbi director james comey that he have be terminate and remove from office , white house press secretary sean spicer say in a statement . president trump act base on the clear recommendation of both deputy attorney general rod rosenstein and attorney general jeff session . president trump s letter : the search for a new director will begin immediately , spicer add . the fbi be one of our nation s most cherished and respected institution and today will mark a new beginning for our crown jewel of law enforcement , trump say in the statement.via : business insider",1,0,0.6382502974744098,0.3617497025255903
35017,"barack obama s historic visit to hiroshima this week will honour all those who be lose in world war ii the u president say wednesday , hour after arrive in japan for a group of seven summit .",1,0,0.8868915327066073,0.11310846729339277
35503,"immigrant afd alternative for germany party.formed just three year ago , it have surge in popularity follow mr merkel s decision to roll out the red carpet for more than a million migrants.analysts say the regional poll in which mr merkel s rule christian democrat lose two out of three state be a bad case scenario for the embattled chancellor ahead of a general election next year.the timing make it a virtual referendum on germany s refugee policy . it will also be see a an indictment of the failure of europe s ruling class to acknowledge the public s fear about migration.mrs merkel s welcome for arrival from syria , other part of the middle east and north africa , have cause chaos across the continent.initially , the incomers be greet by crowd of well-wisher . but , face with the sheer number , public opinion sour . and there be outrage when gang of migrant men be involve in organised sex attack on woman in cologne and other city on new year s eve.one by one , eu state have throw up border fence to stop the flow of arrival lead to the slow collapse of the schengen passport-free zone . via : dmwatch incredible video ( below ) that explain why german chancellor angela merkel be get hammer in the poll in germany : german chancellor angela merkel s party suffer a major setback in key state poll sunday over her liberal refugee policy , while the right-wing populist afd record a surge a it scoop up support from angry voters.merkel s christian democratic union ( cdu ) lose in two of three state in regional election , and score a historic low in it stronghold baden-wuerttemberg where it come in second place after the green , accord to projection base on early result publish by public broadcaster ard and zdf.the populist alternative for germany ( afd ) , which have spark outrage by suggest police may have to shoot at migrant to stop them enter the country , record double-digit support in the first election they have stand for in all three regions.the election be the big since germany register a record influx of refugee , and be largely regard a a referendum on merkel s decision to open the country s door to people flee war.bild daily call sunday s poll a day of horror for chancellor merkel a the stunning popularity of the upstart afd be a clear punishment for her policy . the people who vote for u vote against this refugee policy , say afd deputy chairman alexander gauland.frauke petry ( l ) and ronald glaeser of the right-wing populist party alternative for germany ( afd ) party react after state election exit poll result be announce on tv in berlin on march 13 , 2016germans have watch in grow alarm a 1.1 million asylum seeker arrive in the country in 2015 alone.despite face intense pressure to change course , merkel have resolutely refuse to impose a cap on arrival , insist instead on common european action that include distribute refugee among the eu s 28 member state . via : breitbart news",1,0,0.7187661727781627,0.28123382722183726
33121,"regulating , punitive administration that have make it almost if not entirely impossible to compete with other country to manufacture here , in the u . with all the egg obama and his regime seem to be get on their face over the past couple of month , be it really all that surprise that the epa would make an announcement that would harm fiat-chrysler sale and their reputation on the way out the door ? detroit cbslocal fiat chrysler be deny government charge that some of it diesel vehicle violate federal clean air standards.ceo of fiat chrysler sergio marchionne say the allegation be a surprise to him call it absolute nonsense , report wwj autobeat reporter jeff gilbert . there be never any intent of create condition that be design to defeat the testing process , he says.the comparison to the issue vw be face regard deceptive emission test be one marchionne refuse to make . anyone who draw a parallel between u and vw be smoke illegal material . the way in which it have be describe i think be unfair to u and that s the thing that bother me most . the you.s . government be accuse fiat chrysler of fail to disclose software in some of it pickup and suv with diesel engine that allow them to emit more pollution than allow under the clean air act.epa assistant administrator cynthia giles say emission software on those vehicle be not disclose . those software elements not be disclose in fiat chrysler s require application for certification mean that the vehicle be sell illegally . the environmental protection agency say thursday it have issue a notice of violation to the company that cover about 104,000 vehicle include the 2014 through 2016 jeep grand cherokee and ram pickup , all with 3-liter diesel engine . the california air resource board take similar action.fiat chrysler say in a statement that it emission control system meet the applicable requirement . the company say it be disappoint with the epa s action and intend to work with the incoming trump administration to present it case . fiat chrysler say it spend month give information to the epa to explain it emission technology and propose a number of action include software change to address the agency s concerns.fiat chrysler s share fell more than 16 percent after the news be announce to $ 9.29.if the company be find guilty of this charge they could face huge penalties.marchionne say the company will work with the new administration to show they be compliant with all epa standardsbut of course like a puppy that s be left home alone to run around the home all day , someone s go to have a lot of clean up to do once the chicago contingent move out of dc",1,0,0.6185039218294996,0.38149607817050035
34168,"led coalition air strike kill dozen of syrian soldier on saturday , endanger a you.s.-russian ceasefire and prompt an emergency you.n . security council meeting a tension between moscow and washington escalated.just a few day ago it be report that putin felt that if anything happen to damage the tentative ceasefire agreement that it would be obama s fault . seem he be right.reuters report : the united state military say the coalition stop the attack against what it have believe to be islamic state position in northeast syria after russia inform it that syrian military personnel and vehicle may have be hit . the united state relay it regret through the russian government for what it describe a the unintentional loss of life of syrian force in the strike , a senior obama administration official say in an emailed statement . pentagon press secretary peter cook say in an emailed statement that russian official do not voice concern earlier on saturday when inform that coalition aircraft would be operate in the strike area . the 15-member security council meet on saturday night after russia demand an emergency session to discuss the incident and accuse the united state of jeopardize the syria deal . the you.s . ambassador to the united nation , samantha power , chastise russia for the move . russia really need to stop the cheap point scoring and the grandstanding and the stunt and focus on what matter , which be implementation of something we negotiate in good faith with them , power tell reporter . she say the united state be investigate the air strike and if we determine that we do indeed strike syrian military personnel , that be not our intention and we of course regret the loss of life . when ask if the incident spell the end of the syria deal between moscow and washington , russia s you.n . ambassador vitaly churkin say : this be a very big question mark . i would be very interested to see how washington be go to react . if what ambassador power have do today be any indication of their possible reaction then we be in serious trouble , churkin told reporter . moscow cite the strike , which allow islamic state fighter to briefly overrun a syrian army position near deir al-zor airport , a evidence that the united state be help the jihadist militant . we be reach a really terrifying conclusion for the whole world : that the white house be defend islamic state . now there can be no doubt about that , the ria novosti news agency quote russian foreign ministry spokeswoman maria zakharova a say . power say zakharova should be embarrass by that claim . churkin say russia have no specific evidence of the united state collude with islamic state militant . the syrian conflict have be a tug-o-war between washington and moscow for some time now . both putin an obama have pull maneuver that could have be detrimental to all involve , but this late air-strike be such an obvious and epic failure that obama can t hide from . we have all felt that he support the islamic state terror group and if this accident doesn t show that then nothing will . let u hope an pray that the ramification aren t too harsh.the discussion be still be maintain in a diplomatic way thankfully and they haven t reach a level of action by russia against the you.s . a of yet.h/t [ reuters ]",1,0,0.9675751554920321,0.03242484450796795
36774,"level official at air force headquarters . though the air force policy regard involuntary separation of gender dysphoric airman have not change , the elevation of decision authority to the director , air force review board agency , ensure the ability to consistently apply the exist policy , daniel sitterly , a top air force personnel official , say in a statement.the air force and army move follow a number of statement from top pentagon official about dismantle the policy allow transgender troop to be kick out of the service . defense secretary ashton carter say this year in response to a question about transgender service that ability to perform military task should be the standard for eligibility.air force secretary deborah james express openness to allow transgender troop to serve . from my point of view , anyone who be capable of accomplish the job should be able to serve , james tell usa today . and so i wouldn t be surprise if this doesn t come under review . via : usa today",1,0,0.5938796134009481,0.40612038659905186
15368," bone , a moldy hot water bottle , a pair of rusty plier and a pristine pair of woman s pant be among the eclectic cast-offs reuters photographer stefan wermuth have find along the river thames . wermuth spend two month collect item along the riverside to give a snapshot of the litter that find it way into the waterway that run through the heart of london . for the photo essay , click on : reut.rs/2yyarez a gold-plated watch , a letter in lithuanian in a bottle and a mobile phone be also retrieve from along the shore of the river , which have undergone extensive cleanup since the natural history museum declare the thames biologically dead in 1957 . today , marine life include seal , porpoise and dolphin have be spot swim alongside fish and a hard drive that wermuth find litter the murky water . pollution remain a problem . in march , thames water be hand a record 20 million pound ( $ 26 million ) fine for pump sewage into the river . the water company apologize for it failing and say it be work to improve river . london municipal authority say 4,000 plastic bottle be remove from the river over a one-month period alone last year , demonstrate the scale of the waste problem . the impact of pollution on marine life in the thames have in recent year prompt campaign to encourage londoner to make sure their rubbish go in the bin - rather than the water .",0,1,0.415765030978852,0.584234969021148
2532, you.s . attorney general jeff session on tuesday release a memo restrict justice department grant from go to so-called sanctuary city that do not cooperate with federal immigration agent . the announcement come a session be beset by criticism from president donald trump . conservative who be proponent of session ’ hardline immigration policy have defend him .,0,1,0.4495578981796827,0.5504421018203173
6514," an evergreen crop of elite quarterback feature tom brady , aaron rodgers and ben roethlisberger , offer the promise of a dazzling super bowl tournament with the playoff get underway this weekend . join that trio be twice super bowl most valuable player eli manning of the new york giant , former super bowl champion russell wilson of seattle seahawks and league mvp candidate matt ryan of the atlanta falcon , underline the importance of the quarterback in the gridiron game . oddsmakers instal afc top seed new england patriot , who have win four super bowl with brady at the helm , a 2-1 favorite to win the title , follow by the nfc top-seeded dallas cowboy at 4-1 . “ i think the player and the coaching staff have both do a great job this year of be focus and look just at what be in front of u ... not get catch up in other distraction , ” say patriots coach bill belichick , whose team finish with seven straight win . the patriot make their way despite miss brady , 39 , for the first four game due to a suspension stem back to the deflategate controversy in the playoff two year ago . brady , a three-time super bowl mvp , and the patriot ( 14-2 ) enjoy a first-round bye along with the kansa city chief ( 12-4 ) , who be lead by quarterback and former first overall draft pick alex smith . rodgers , a super bowl mvp , lead the green bay packer ( 10-6 ) on a rouse charge into the postseason finish with six straight victory , while two-time super bowl winner roethlisberger steer the pittsburgh steelers through an 11-5 campaign . the green bay quarterback predict the packer could sweep the rest of their game after struggle to a 4-6 start . “ that be what you have to do sometimes a a leader , ” rodgers say after sunday ’ s victory over the detroit lion to clinch the nfc north title . “ exude confidence even when it seem to the outside world confidence should not exist. ” buck the trend favor experience at quarterback be the young dallas cowboy ( 13-3 ) , who be lead by rookie quarterback dak prescott and first-year running back ezekiel elliott , the nfl rushing leader . atlanta ( 11-5 ) be the nfc second seed , and will take the week off along with dallas . the wild card round open on saturday with the oakland raider ( 12-4 ) , devastate by the loss of start quarterback derek carr to injury , take on the houston texan ( 9-7 ) , who be also play a back-up signal caller . the defensive-minded seahawks ( 10-5-1 ) , who have be to two of the last three super bowl , host the lion ( 9-7 ) and their strong-armed quarterback matthew stafford . on sunday , roethlisberger and the steelers host the miami dolphin ( 10-6 ) , follow by a frigid meeting at lambeau field between the giant ( 11-5 ) and the packer ( 10-6 ) .",0,1,0.2170813105417847,0.7829186894582153
5196," president donald trump say he believe the extra $ 54 billion dollar he have propose spending on the you.s . military will be offset by a strong economy as well a cut in other area . “ i think the money be go to come from a rev up economy , ” trump say in a fox news interview broadcast on tuesday , hour before he be to address a joint session of congress . “ i mean you look at the kind of number we be do , we be probably gdp of a little more than 1 percent and if i can get that up to 3 or maybe more , we have a whole different ball game . it be a whole different ball game . ”",0,1,0.3640383351770917,0.6359616648229083
